Designator,Mid X,Mid Y,Rotation,Layer
C1,13.5,-26.5,0.0,top
C10,7.569468,-7.306007,0.0,top
C11,11.2,-5.6,90.0,top
C12,10.026889,-7.558235,180.0,top
C13,19.0,-34.6,180.0,top
C14,34.857543,-40.137151,270.0,top
C15,23.364896,-40.134099,270.0,top
C16,33.270896,-38.7,90.0,top
C17,33.251571,-36.508792,90.0,top
C18,19.424,-21.412051,225.0,top
C19,47.377226,-40.078062,270.0,top
C2,22.349587,-40.145108,270.0,top
C20,35.8745,-40.132,270.0,top
C21,45.7805,-38.7,90.0,top
C22,45.737797,-36.495613,90.0,top
C23,44.0,-30.4,180.0,top
C24,59.9,-40.1,270.0,top
C25,48.387,-40.077,270.0,top
C26,58.293,-38.6,90.0,top
C27,58.280484,-36.408676,90.0,top
C3,10.7285,-40.132,270.0,top
C30,23.8,-7.1,0.0,top
C31,28.1,-12.9,45.0,top
C32,18.624,-20.612051,45.0,top
C33,15.224,-20.412051,135.0,top
C34,15.5,-12.5,270.0,top
C35,21.209,-25.146,270.0,top
C36,26.7,-15.8,315.0,top
C37,27.4,-15.1,315.0,top
C38,29.6,-11.4,225.0,top
C39,43.1,-21.6,180.0,top
C4,20.6,-38.7,90.0,top
C40,42.6,-19.8,0.0,top
C41,42.6,-17.4,0.0,top
C42,42.6,-14.999999,0.0,top
C43,42.6,-12.6,0.0,top
C44,48.004302,-31.66662,270.0,top
C45,44.0,-24.0,270.0,top
C46,44.4,-28.4,270.0,top
C47,43.4,-28.4,270.0,top
C48,50.4,-27.0,90.0,top
C49,51.4,-27.0,90.0,top
C5,20.626364,-36.510118,90.0,top
C50,53.0,-26.800001,90.0,top
C51,55.0,-26.8,90.0,top
C52,57.0,-26.800001,90.0,top
C53,59.0,-26.8,90.0,top
C54,58.0,-29.503995,180.0,top
C55,14.7,-5.6,0.0,top
C57,19.0,-32.6,180.0,top
C58,31.6,-32.6,180.0,top
C59,31.6,-34.6,180.0,top
C6,34.0,-4.0,90.0,top
C60,43.81185,-32.59654,180.0,top
C61,43.81185,-34.59654,180.0,top
C62,57.001456,-32.489727,180.0,top
C63,57.001456,-34.49422,180.0,top
C64,6.4,-32.6,180.0,top
C65,6.4,-34.6,180.0,top
C66,9.714325,-40.157116,270.0,top
C67,-1.8445,-40.132,270.0,top
C68,8.1,-38.7,90.0,top
C69,8.055802,-36.512101,90.0,top
C7,33.0,-4.0,90.0,top
C8,30.6,-6.2,0.0,top
C9,7.576675,-8.300506,0.0,top
D1,12.2,-3.7,0.0,top
D10,39.9385,-31.75,180.0,top
D11,53.0,-34.743,180.0,top
D12,53.0,-33.219,180.0,top
D13,53.0,-31.695,180.0,top
D14,36.584377,-20.2,0.0,top
D2,14.7925,-34.798,180.0,top
D26,2.2195,-34.798,180.0,top
D27,2.2195,-33.274,180.0,top
D28,2.2195,-31.75,180.0,top
D3,14.7925,-33.274,180.0,top
D4,14.7925,-31.75,180.0,top
D5,27.428896,-34.800099,180.0,top
D6,27.428896,-33.276099,180.0,top
D7,27.428896,-31.752099,180.0,top
D8,39.9385,-34.798,180.0,top
D9,39.9385,-33.274,180.0,top
F1,51.2,-15.3,0.0,top
FB1,29.6,-14.0,45.0,top
J1,29.007832,0.003903,270.0,bottom
J14,2.54,-12.192,90.0,top
J15,2.54,-14.732,90.0,top
J16,2.54,-17.272,90.0,top
J17,2.54,-19.812,90.0,top
J18,2.54,-22.352,90.0,top
J2,0.6,-6.8,270.0,top
J20,19.0,-46.6,0.0,top
J21,42.04,-7.0,0.0,top
